abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
abachbibuuu,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
four...,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
(music),attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
society?,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
fantasies,daydreams,imaginings,perversions,fancies,lustful,escapades,lurid,longings,titillating,fictions
place,cannot,etc.,half-way,lets,n?t,in-between,palce,dont,?s,wont
dreams,daydreams,imaginings,longings,dreamers,fancies,yearnings,reverie,longed,dreamland,boyhood
pill,phentermine,levitra,cialis,rx,perscription,tramadol,ultram,zoloft,prozac,fda
thrill,exhilaration,adrenalin,excitment,electrifying,spine-tingling,mind-blowing,action-packed,heart-stopping,roller-coaster,heart-pounding
laserbeams,laserbeams,lazors,lazers,laserbeam,sploding,jetwash,minnions,bleedy,laser-beam,jawas
aaaaah,aaaaah,aaaaaah,aaah,aaaah,aahh,aahhhh,aaahhhh,ahhhhhh,aaaahhh,oooooh
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
aaaaah,aaaaah,aaaaaah,aaah,aaaah,aahh,aahhhh,aaahhhh,ahhhhhh,aaaahhh,oooooh
star,co-star,starlet,co-stars,heartthrob,all-star,showbiz,stardom,costar,four-star,mogul
aaaaaaaaaah,aaaaaaaaaah,aaaaaaaaah,aaaaaaaah,ahhhhhhhhhhhhh,ahhhhhhhhhhh,aaaahhhhh,aaaahhhhhh,aahhhhh,aaahhhhhh,ahhhhhhhhhhhhhhh
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
no,cannot,wont,dont,doesnt,cant,no-one,didnt,isnt,n?t,doesn
high,high-quality,hight,hig,ultra-high,long-term,high-end,high-performance,high-density,sky-high,high-school
gone,wont,didnt,havent,'cause,n?t,cant,thats,cannot,aint,dont
trace,isotope,retrace,tell-tale,decomposed,contaminant,encapsulate,cannot,genealogical,isotopic,vestiges
estrade,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
deformaty,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
off,didnt,wont,lets,cant,dont,thats,half-way,?s,cannot,couldnt
space?,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
*solo*,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
woohooo,woohooo,wooohooo,wooohoooo,wohooo,whoohoo,yayyy,woohoooo,wooohoo,yayy,yayyyy
woohooooo,woohooooo,woooohoooo,wooohoo,wooohoooo,wohooo,whoohooo,wooohooooo,wohoooo,yayyyyy,woohoooo
hoooooaaaaa,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
aaaaaaaaaaaaaa,aaaaaaaaaaaaaa,aaaaaaaaaaaaa,aaaaaaaaaaa,aaaaaaaaaaaa,aaaaaaaaaaaaaaa,ahhhhhhhhhhhhh,eeeeeeeeeee,aaaaaaaaaaaaaaaa,ahhhhhhhhhhhhhhh,ahhhhhhhhhhh
aaaaaaaah,aaaaaaaah,aaaaaaaaah,aaaaaaah,aaaaaaaaaah,aaaaaah,ahhhhhhhhhh,ahhhhhhhhhhh,aahhhhh,ahhhhhhhhh,aaaaaaaaaaah
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
aaaaah,aaaaah,aaaaaah,aaah,aaaah,aahh,aahhhh,aaahhhh,ahhhhhh,aaaahhh,oooooh
star,co-star,starlet,co-stars,heartthrob,all-star,showbiz,stardom,costar,four-star,mogul
aaaaaaaaaah,aaaaaaaaaah,aaaaaaaaah,aaaaaaaah,ahhhhhhhhhhhhh,ahhhhhhhhhhh,aaaahhhhh,aaaahhhhhh,aahhhhh,aaahhhhhh,ahhhhhhhhhhhhhhh
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
part,ofthe,?s,cannot,so-called,on-going,thats,inthe,two-thirds,principally,etc.
*cough*,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
*cough*,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
aaahh...,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
aaahh...,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
aaahh...,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
aaaah...,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
up*,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
solo*,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
part*,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
abachbidaaaa,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
abachbidaaaaaaa,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
abachbidaaaa,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
abachbidaaaaaaa,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
*lighter*,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl
inhales,inhales,exhales,ingests,gulps,exhaled,belches,snorts,huffs,vomits,sniffs
part,ofthe,?s,cannot,so-called,on-going,thats,inthe,two-thirds,principally,etc.
